Id,SalePrice
758,158900
599,217500
216,134450
136,174000
373,125000
1216,125000
621,67000
299,175000
1336,167900
775,395000
1185,186700
651,205950
537,188000
1409,125500
196,148500
562,170000
868,129000
920,176500
820,224000
454,210000
326,87000
530,200624
1029,105000
670,137500
1120,133700
59,438780
497,430000
825,232600
240,113000
1257,301500
818,271000
843,174900
331,119000
28,306000
481,326000
1168,173000
127,128000
967,160000
447,190000
817,137000
811,181000
494,155000
993,187000
529,86000
91,109900
680,128500
826,385000
263,151000
1299,160000
578,164500
391,119000
149,141000
337,377426
994,173900
736,163000
79,136500
1077,170000
746,299800
36,309000
1369,144000
491,115000
461,263435
1246,178000
624,168500
7,307000
901,110000
743,179000
1329,256000
463,62383
304,149900
1264,180500
217,210000
1155,201800
351,318061
1350,122000
791,160200
203,112000
962,272000
1081,145000
311,165600
1258,99900
1016,227000
9,129900
242,110500
405,168000
842,157500
1193,125000
1150,143000
485,132500
1349,215000
1116,318000
617,183200
859,152000
276,205000
1110,280000
427,275000
1037,315500
1417,122500
633,82500
632,209500
63,202500
415,228000
635,144000
316,188500
1056,180000
1445,179600
560,234000
1314,333168
1173,171900
1362,260000
719,341000
554,108000
155,125000
923,169990
1201,116050
1069,151400
1356,170000
189,153337
190,286000
1323,190000
973,99500
243,79000
1294,162900
522,150000
1330,176500
1389,377500
352,190000
42,170000
963,155000
433,122500
100,128950
914,145000
1261,181000
436,212000
1172,163000
1167,245350
1174,200500
1420,223000
209,277000
84,126500
889,268000
251,76500
77,135750
229,125000
1334,125500
573,224500
1048,145000
532,128000
1042,173000
1325,147000
865,250580
1065,154000
496,34900
742,142000
440,110000
420,142000
504,289000
1127,174000
1014,85000
324,126175
731,236500
702,140000
1309,147000
598,194201
654,135000
894,165000
650,84500
201,140000
350,437154
1250,119000
1098,170000
864,132500
684,285000
1232,132500
1378,117000
996,121600
821,183000
1049,115000
1333,100000
760,290000
356,177500
738,239900
892,172500
453,204000
809,159950
212,186000
181,177000
600,151000
396,129000
245,205000
767,196500
275,124500
206,180500
535,178000
287,159000
393,106500
660,167000
221,204900
495,91300
429,195400
35,277500
86,260000
235,216500
157,109500
332,139000
824,139500
1202,197900
1221,115000
315,178000
401,245500
364,118000
709,179540
1088,252000
703,361919
777,221500
1367,193000
984,255900
492,133000
1326,55000
1093,136500
510,124500
68,226000
1298,140000
756,172500
730,103000
939,239799
472,190000
1242,248328
394,100000
1376,239000
854,158000
348,157500
1141,139000
330,78000
135,180000
765,270000
10,118000
1271,260000
11,129500
1071,135000
623,135000
867,248900
1262,128900
1305,130000
662,402000
371,172400
792,146800
559,175000
126,84500
408,177000
766,264132
1238,195000
732,187500
542,248000
140,231500
261,176000
474,440000
166,127500
227,290000
1149,116900
192,184000
307,225000
608,225000
1117,184100
1277,162000
483,155000
1177,119500
1387,250000
1415,207000
321,342643
1163,129000
1255,165400
18,90000
871,109500
431,85400
1423,136500
988,395192
1287,143000
869,169000
1009,240000
208,141000
238,194500
1285,169000
346,140200
1312,203000
706,55000
341,202900
590,79500
458,256000
176,243000
550,263000
301,157000
460,110000
852,215000
907,255000
1315,119000
1130,140000
695,141500
932,117500
661,197900
1204,213000
464,188700
637,60000
327,324000
814,157900
699,138500
644,152000
1209,140000
60,124900
14,279500
1452,287090
813,55993
1128,259000
1433,64500
1157,179900
1079,155900
986,125000
323,301000
1085,187500
442,118000
1412,140000
693,335000
555,284000
257,207500
561,121500
665,423000
683,173000
1186,104900
73,185000
258,220000
936,79900
3,223500
1324,82500
1135,169000
1281,227000
368,165000
1406,275000
1427,271000
480,89471
928,176000
1293,107500
586,369900
118,155000
899,611657
6,143000
1354,410000
922,145900
1125,163900
985,126000
925,207500
446,127500
137,143000
12,345000
1028,293077
333,284000
605,221000
569,316600
853,164000
694,108480
1399,138000
55,130000
822,93000
234,128200
85,168500
642,226000
1147,180000
65,219500
1189,195000
188,135000
1083,192000
152,372402
1122,212900
952,119900
389,191000
138,171000
173,239000
531,175000
773,107000
456,175500
1142,197500
595,110000
1270,144000
840,130500
375,219500
1321,156500
701,312500
161,162500
51,177000
1123,112000
1320,111000
671,173500
33,179900
239,318000
930,222000
355,140000
165,152000
487,156000
753,217000
931,201000
802,109900
296,142500
954,172000
475,251000
794,225000
473,148000
1023,87000
942,214000
1086,147000
858,174000
98,94750
1044,262280
577,145000
1290,281000
1115,117000
551,140000
309,82500
1066,328000
1198,144000
673,165000
873,116000
434,181000
583,118500
1424,274970
1038,287000
1160,185000
799,485000
1018,187500
721,275000
568,214000
620,305000
1210,290000
493,172785
386,192000
282,185000
1267,122000
484,164000
283,207500
438,119000
790,187500
549,125000
1118,130000
1297,155000
764,337000
1396,281213
910,174000
674,257500
